feature,obesity_level,category,count,total,prop,prop_ci_low,prop_ci_high,,,,,,
FAVC,Insufficient,yes,221,272,0.8125,0.766115171,0.858884829,,,,,,
FAVC,Insufficient,no,51,272,0.1875,0.141115171,0.233884829,,,,,,
FAVC,Normal,yes,208,287,0.724738676,0.673064869,0.776412483,,,,,,
FAVC,Normal,no,79,287,0.275261324,0.223587517,0.326935131,,,,,,
FAVC,Overweight,yes,484,580,0.834482759,0.804237006,0.864728511,,,,,,
FAVC,Overweight,no,96,580,0.165517241,0.135271489,0.195762994,,,,,,
FAVC,Obesity,yes,953,972,0.980452675,0.971749616,0.989155734,,,,,,
FAVC,Obesity,no,19,972,0.019547325,0.010844266,0.028250384,,,,,,
SMOKE,Insufficient,no,271,272,0.996323529,0.989131038,1.003516021,,,,,,
SMOKE,Insufficient,yes,1,272,0.003676471,-0.003516021,0.010868962,,,,,,
SMOKE,Normal,no,274,287,0.954703833,0.93064513,0.978762535,,,,,,
SMOKE,Normal,yes,13,287,0.045296167,0.021237465,0.06935487,,,,,,
SMOKE,Overweight,no,572,580,0.986206897,0.976715085,0.995698708,,,,,,
SMOKE,Overweight,yes,8,580,0.013793103,0.004301292,0.023284915,,,,,,
SMOKE,Obesity,no,950,972,0.977366255,0.968016035,0.986716475,,,,,,
SMOKE,Obesity,yes,22,972,0.022633745,0.013283525,0.031983965,,,,,,
SCC,Insufficient,no,250,272,0.919117647,0.886715329,0.951519965,,,,,,
SCC,Insufficient,yes,22,272,0.080882353,0.048480035,0.113284671,,,,,,
SCC,Normal,no,257,287,0.895470383,0.860074526,0.930866241,,,,,,
SCC,Normal,yes,30,287,0.104529617,0.069133759,0.139925474,,,,,,
SCC,Overweight,no,539,580,0.929310345,0.908451396,0.950169293,,,,,,
SCC,Overweight,yes,41,580,0.070689655,0.049830707,0.091548604,,,,,,
SCC,Obesity,no,969,972,0.99691358,0.993426426,1.000400735,,,,,,
SCC,Obesity,yes,3,972,0.00308642,-0.000400735,0.006573574,,,,,,
Gender,Insufficient,Female,173,272,0.636029412,0.578850566,0.693208257,,,,,,
Gender,Insufficient,Male,99,272,0.363970588,0.306791743,0.421149434,,,,,,
Gender,Normal,Male,146,287,0.508710801,0.450873073,0.56654853,,,,,,
Gender,Normal,Female,141,287,0.491289199,0.43345147,0.549126927,,,,,,
Gender,Overweight,Male,332,580,0.572413793,0.53215127,0.612676316,,,,,,
Gender,Overweight,Female,248,580,0.427586207,0.387323684,0.46784873,,,,,,
Gender,Obesity,Male,491,972,0.505144033,0.473712759,0.536575306,,,,,,
Gender,Obesity,Female,481,972,0.494855967,0.463424694,0.526287241,,,,,,
family_history_with_overweight,Insufficient,no,146,272,0.536764706,0.477505417,0.596023995,,,,,,
family_history_with_overweight,Insufficient,yes,126,272,0.463235294,0.403976005,0.522494583,,,,,,
family_history_with_overweight,Normal,yes,155,287,0.540069686,0.482409232,0.597730141,,,,,,
family_history_with_overweight,Normal,no,132,287,0.459930314,0.402269859,0.517590768,,,,,,
family_history_with_overweight,Overweight,yes,481,580,0.829310345,0.798690976,0.859929714,,,,,,
family_history_with_overweight,Overweight,no,99,580,0.170689655,0.140070286,0.201309024,,,,,,
family_history_with_overweight,Obesity,yes,964,972,0.991769547,0.986089758,0.997449336,,,,,,
family_history_with_overweight,Obesity,no,8,972,0.008230453,0.002550664,0.013910242,,,,,,
CAEC,Insufficient,Sometimes,146,272,0.536764706,0.477505417,0.596023995,,,,,,
CAEC,Insufficient,Frequently,121,272,0.444852941,0.385795328,0.503910555,,,,,,
CAEC,Insufficient,no,3,272,0.011029412,-0.001382295,0.023441118,,,,,,
CAEC,Insufficient,Always,2,272,0.007352941,-0.002799994,0.017505876,,,,,,
CAEC,Normal,Sometimes,159,287,0.554006969,0.496498899,0.611515039,,,,,,
CAEC,Normal,Frequently,83,287,0.289198606,0.236744514,0.341652699,,,,,,
CAEC,Normal,Always,35,287,0.12195122,0.084093056,0.159809383,,,,,,
CAEC,Normal,no,10,287,0.034843206,0.013627126,0.056059285,,,,,,
CAEC,Overweight,Sometimes,506,580,0.872413793,0.845262081,0.899565505,,,,,,
CAEC,Overweight,no,36,580,0.062068966,0.042432795,0.081705136,,,,,,
CAEC,Overweight,Frequently,30,580,0.051724138,0.033700267,0.069748009,,,,,,
CAEC,Overweight,Always,8,580,0.013793103,0.004301292,0.023284915,,,,,,
CAEC,Obesity,Sometimes,954,972,0.981481481,0.973006102,0.989956861,,,,,,
CAEC,Obesity,Frequently,8,972,0.008230453,0.002550664,0.013910242,,,,,,
CAEC,Obesity,Always,8,972,0.008230453,0.002550664,0.013910242,,,,,,
CAEC,Obesity,no,2,972,0.002057613,-0.000791105,0.004906332,,,,,,
CALC,Insufficient,Sometimes,154,272,0.566176471,0.507279074,0.625073867,,,,,,
CALC,Insufficient,no,117,272,0.430147059,0.371309653,0.488984464,,,,,,
CALC,Insufficient,Frequently,1,272,0.003676471,-0.003516021,0.010868962,,,,,,
CALC,Normal,Sometimes,161,287,0.56097561,0.503560863,0.618390357,,,,,,
CALC,Normal,no,107,287,0.3728223,0.316878316,0.428766283,,,,,,
CALC,Normal,Frequently,18,287,0.06271777,0.034667462,0.090768078,,,,,,
CALC,Normal,Always,1,287,0.003484321,-0.003332914,0.010301556,,,,,,
CALC,Overweight,Sometimes,367,580,0.632758621,0.593527661,0.671989581,,,,,,
CALC,Overweight,no,178,580,0.306896552,0.269362182,0.344430922,,,,,,
CALC,Overweight,Frequently,35,580,0.060344828,0.040965515,0.07972414,,,,,,
CALC,Obesity,Sometimes,719,972,0.739711934,0.712126908,0.76729696,,,,,,
CALC,Obesity,no,237,972,0.24382716,0.216833204,0.270821117,,,,,,
CALC,Obesity,Frequently,16,972,0.016460905,0.00846187,0.024459941,,,,,,
MTRANS,Insufficient,Public_Transportation,220,272,0.808823529,0.762092242,0.855554817,,,,,,
MTRANS,Insufficient,Automobile,46,272,0.169117647,0.124569682,0.213665612,,,,,,
MTRANS,Insufficient,Walking,6,272,0.022058824,0.004604172,0.039513475,,,,,,
MTRANS,Normal,Public_Transportation,200,287,0.696864111,0.643690046,0.750038177,,,,,,
MTRANS,Normal,Automobile,45,287,0.156794425,0.114727653,0.198861197,,,,,,
MTRANS,Normal,Walking,32,287,0.111498258,0.075084095,0.14791242,,,,,,
MTRANS,Normal,Motorbike,6,287,0.020905923,0.004353788,0.037458059,,,,,,
MTRANS,Normal,Bike,4,287,0.013937282,0.00037451,0.027500054,,,,,,
MTRANS,Overweight,Public_Transportation,401,580,0.69137931,0.653786499,0.728972121,,,,,,
MTRANS,Overweight,Automobile,160,580,0.275862069,0.239488096,0.312236042,,,,,,
MTRANS,Overweight,Walking,15,580,0.025862069,0.012944644,0.038779494,,,,,,
MTRANS,Overweight,Motorbike,2,580,0.003448276,-0.001322456,0.008219008,,,,,,
MTRANS,Overweight,Bike,2,580,0.003448276,-0.001322456,0.008219008,,,,,,
MTRANS,Obesity,Public_Transportation,759,972,0.780864198,0.754859046,0.806869349,,,,,,
MTRANS,Obesity,Automobile,206,972,0.211934156,0.186242229,0.237626084,,,,,,
MTRANS,Obesity,Walking,3,972,0.00308642,-0.000400735,0.006573574,,,,,,
MTRANS,Obesity,Motorbike,3,972,0.00308642,-0.000400735,0.006573574,,,,,,
MTRANS,Obesity,Bike,1,972,0.001028807,-0.00098658,0.003044193,,,,,,
,,,,,,,,Obesity Level,FAVC,Count,Total,Proportion,95% CI
,,,,,,,,Insufficient,yes,221,272,0.8125,"[0.766, 0.858]"
,,,,,,,,Insufficient,no,51,272,0.1875,"[0.141, 0.233]"
,,,,,,,,Normal,yes,208,287,0.7247,"[0.673, 0.776]"
,,,,,,,,Normal,no,79,287,0.2753,"[0.224, 0.326]"
,,,,,,,,Overweight,yes,484,580,0.8345,"[0.804, 0.864]"
,,,,,,,,Overweight,no,96,580,0.1655,"[0.135, 0.195]"
,,,,,,,,Obesity,yes,953,972,0.9805,"[0.971, 0.989]"
,,,,,,,,Obesity,no,19,972,0.0195,"[0.01, 0.028]"
