feature,obesity_level,n,mean,mean_ci_low,mean_ci_high,var,var_ci_low,var_ci_high,min,max
Age,Insufficient,272,19.78323715,19.46456862,20.10190568,7.126287393,6.063620856,8.496623932,16,39
Age,Normal,287,21.73867596,21.14651096,22.33084095,25.97692551,22.19453106,30.82143548,14,61
Age,Overweight,580,25.20732755,24.60599237,25.80866272,54.36851387,48.61152921,61.2179887,16,56
Age,Obesity,972,25.80618099,25.43361474,26.17874724,35.03432437,32.11547521,38.37211849,15,52
Height,Insufficient,272,1.691117107,1.679217158,1.703017055,0.009937455,0.008455589,0.01184836,1.52,1.9
Height,Normal,287,1.676585366,1.6656029,1.687567831,0.008935153,0.007634141,0.010601494,1.5,1.93
Height,Overweight,580,1.695792053,1.688204376,1.703379731,0.008656293,0.007739694,0.009746833,1.45,1.93
Height,Obesity,972,1.715553137,1.709951397,1.721154877,0.007920136,0.007260278,0.008674704,1.5,1.98
Weight,Insufficient,272,49.90633037,49.18881184,50.6238489,36.12860693,30.74113664,43.07589202,39,65
Weight,Normal,287,62.15505226,61.07499592,63.23510861,86.41618942,73.8334796,102.5321879,42.3,87
Weight,Overweight,580,78.17604952,77.41636455,78.93573448,86.77233996,77.58417213,97.70412596,53,102
Weight,Obesity,972,109.0823437,107.9899134,110.1747741,301.2133565,276.1180716,329.9105895,75,173
FCVC,Insufficient,272,2.480788368,2.410979206,2.55059753,0.34198718,0.290990313,0.407748986,1,3
FCVC,Normal,287,2.334494774,2.265831645,2.403157902,0.349260496,0.298406096,0.414395069,1,3
FCVC,Overweight,580,2.262604691,2.224455625,2.300753758,0.218817515,0.195647319,0.246384666,1,3
FCVC,Obesity,972,2.520076899,2.487817473,2.552336326,0.26266367,0.240780113,0.287688193,1,3
NCP,Insufficient,272,2.914403246,2.806815846,3.021990647,0.812283825,0.691156681,0.968480473,1,4
NCP,Normal,287,2.738675958,2.637379023,2.839972893,0.760142297,0.649461069,0.901903374,1,4
NCP,Overweight,580,2.499873955,2.429450845,2.570297066,0.745666535,0.66670924,0.839607381,1,4
NCP,Obesity,972,2.716786251,2.677825994,2.755746508,0.383116051,0.351197127,0.419616327,1,4
CH2O,Insufficient,272,1.871281,1.799383025,1.943178975,0.36275908,0.308664722,0.43251518,1,3
CH2O,Normal,287,1.850174216,1.776002908,1.924345524,0.407543676,0.348202899,0.483547643,1,3
CH2O,Overweight,580,2.041929081,1.994210319,2.089647843,0.342367536,0.30611485,0.385499814,1,3
CH2O,Obesity,972,2.072638657,2.034169088,2.111108227,0.373526466,0.342406488,0.409113122,1,3
FAF,Insufficient,272,1.250131335,1.147873127,1.352389542,0.733806111,0.624381504,0.874912029,0,3
FAF,Normal,287,1.24738676,1.129301087,1.365472432,1.032991399,0.882581723,1.225636873,0,3
FAF,Overweight,580,1.007434134,0.939009824,1.075858445,0.703939128,0.629400273,0.792623056,0,3
FAF,Obesity,972,0.874887773,0.8264454,0.923330145,0.592294264,0.542947869,0.64872339,0,3
TUE,Insufficient,272,0.839459059,0.762674375,0.916243743,0.413746351,0.352048811,0.493306957,0,2
TUE,Normal,287,0.675958188,0.596174513,0.755741863,0.471552837,0.402891947,0.559494054,0,2
TUE,Overweight,580,0.65513345,0.603306215,0.706960685,0.403859523,0.361095561,0.454738707,0,2
TUE,Obesity,972,0.603338169,0.568963468,0.637712869,0.298239088,0.273391602,0.326652957,0,2
