feature,obesity_level,n,mean,mean_ci_low,mean_ci_high,var,var_ci_low,var_ci_high,min,max,model_mean,model_var,mean_diff,var_diff
Age,Insufficient,272,19.783237150735292,19.464568619746558,20.101905681724027,7.126287393321029,6.063620855862768,8.496623931616437,16.0,39.0,19.78731348271448,7.668218182281123,0.004076331979188552,0.5419307889600944
Age,Normal,287,21.738675958188153,21.146510964086172,22.330840952290135,25.976925513510878,22.194531058274638,30.821435483453897,14.0,61.0,21.73162746674283,28.079748149136094,-0.007048491445324601,2.102822635625216
Age,Overweight,580,25.207327548275863,24.60599237304817,25.808662723503556,54.368513867875265,48.61152920976265,61.21798870345946,16.0,56.0,25.250830651761312,56.922482263195434,0.043503103485448946,2.553968395320169
Age,Obesity,972,25.806180991769548,25.433614740643353,26.178747242895742,35.0343243654968,32.115475211449805,38.372118485158936,15.0,52.0,25.805552316687415,37.118941020518946,-0.0006286750821331566,2.0846166550221454
Height,Insufficient,272,1.6911171066176471,1.6792171577794106,1.7030170554558837,0.00993745476180778,0.008455589091785025,0.011848359642029951,1.52,1.9,1.695183939316026,0.009843622938992436,0.0040668326983788194,-9.383182281534445e-05
Height,Normal,287,1.6765853658536585,1.665602900440902,1.6875678312664149,0.008935152652225822,0.00763414142089706,0.010601494424817696,1.5,1.93,1.6778353800782293,0.009422988895122497,0.001250014224570828,0.00048783624289667517
Height,Overweight,580,1.6957920534482758,1.6882043761865284,1.7033797307100231,0.008656292932244115,0.007739693561362588,0.009746833327608586,1.45,1.93,1.6957994317278504,0.00922799012366804,7.3782795746435426e-06,0.0005716971914239248
Height,Obesity,972,1.7155531368312755,1.7099513967356552,1.7211548769268958,0.007920135885782494,0.007260277808059132,0.008674703969091242,1.5,1.98,1.715641277092655,0.008359538491391483,8.814026137948794e-05,0.0004394026056089885
Weight,Insufficient,272,49.90633037132353,49.18881184346163,50.623848899185425,36.1286069322971,30.741136639151552,43.07589202262901,39.0,65.0,49.969491126023314,38.28973814844721,0.06316075469978699,2.1611312161501104
Weight,Normal,287,62.15505226480836,61.07499592165329,63.23510860796343,86.41618942033575,73.83347960211192,102.53218786647827,42.3,87.0,62.1502944450133,92.46234489032668,-0.004757819795059959,6.0461554699909215
Weight,Overweight,580,78.17604951551725,77.41636454884308,78.93573448219142,86.77233995696209,77.58417213073186,97.70412596097772,53.0,102.0,78.16765489602491,92.15611902379987,-0.008394619492335664,5.383779066837789
Weight,Obesity,972,109.08234374999999,107.98991341493274,110.17477408506724,301.21335647182383,276.1180715862587,329.91058949126506,75.0,173.0,109.17002259375482,316.2473245154815,0.08767884375482993,15.033968043657694
FCVC,Insufficient,272,2.4807883676470586,2.4109792055874335,2.5505975297066836,0.3419871802139013,0.29099031289788096,0.4077489861600025,1.0,3.0,2.4069159372362567,0.31038348899163015,-0.07387243041080183,-0.031603691222271135
