feature,level,auc,auc_ci_low,auc_ci_high
Age,Insufficient,0.203682268,0.181068646,0.227801244
Age,Normal,0.339386958,0.307372323,0.370369766
Age,Overweight,0.527746683,0.49943621,0.558485001
Age,Obesity,0.68757068,0.663476491,0.710409938
Height,Insufficient,0.468952916,0.433068675,0.504422525
Height,Normal,0.404410416,0.368591818,0.441448029
Height,Overweight,0.480229284,0.453454245,0.505443692
Height,Obesity,0.575083912,0.550894453,0.600170925
Weight,Insufficient,0.022616591,0.017528584,0.027898627
Weight,Normal,0.168930329,0.15244898,0.185774148
Weight,Overweight,0.382233834,0.358565704,0.403596537
Weight,Obesity,0.96668979,0.960349342,0.972221282
FCVC,Insufficient,0.53896679,0.50542029,0.575650372
FCVC,Normal,0.459251215,0.420442071,0.499887374
FCVC,Overweight,0.366198563,0.343582184,0.39027065
FCVC,Obesity,0.608980334,0.58428692,0.631565311
NCP,Insufficient,0.6461532,0.604922121,0.685684313
NCP,Normal,0.550532199,0.516695437,0.582643447
NCP,Overweight,0.411485619,0.384262961,0.441376849
NCP,Obesity,0.481066888,0.458156401,0.503790686
CH2O,Insufficient,0.424060591,0.386672889,0.458063706
CH2O,Normal,0.404257595,0.36900717,0.441984529
CH2O,Overweight,0.512428208,0.485562032,0.536896693
CH2O,Obesity,0.569613353,0.544251865,0.594939336
FAF,Insufficient,0.604886367,0.567975154,0.64277552
FAF,Normal,0.564890695,0.524970946,0.601609016
FAF,Overweight,0.493913151,0.468149425,0.521247531
FAF,Obesity,0.42680976,0.403392862,0.452214861
TUE,Insufficient,0.601018976,0.563557266,0.63639739
TUE,Normal,0.495174674,0.453102507,0.536962776
TUE,Overweight,0.490466565,0.463167648,0.519249815
TUE,Obesity,0.46428623,0.439508849,0.488901992
