feature,level,alpha,beta,power,threshold
Age,Insufficient,0.998912452,0,1,16
Age,Normal,0,0.996515679,0.003484321,61
Age,Overweight,0.199869366,0.677586207,0.322413793,26.047077
Age,Obesity,0.36786655,0.288065844,0.711934156,22.200779
Height,Insufficient,0.560087004,0.397058824,0.602941176,1.686936
Height,Normal,0.028508772,0.965156794,0.034843206,1.87
Height,Overweight,0.593729589,0.362068966,0.637931034,1.672101
Height,Obesity,0.330992098,0.512345679,0.487654321,1.732383
Weight,Insufficient,0,1,0,inf
Weight,Normal,0.959429825,0.006968641,0.993031359,45
Weight,Overweight,0.732854344,0.018965517,0.981034483,60.117993
Weight,Obesity,0.045654083,0.155349794,0.844650206,89.93889
FCVC,Insufficient,0.486677542,0.341911765,0.658088235,2.336044
FCVC,Normal,0.29495614,0.602787456,0.397212544,3
FCVC,Overweight,0.942521228,0.04137931,0.95862069,1.570089
FCVC,Obesity,0.512730465,0.270576132,0.729423868,2.014194
NCP,Insufficient,0.062533986,0.591911765,0.408088235,3.03779
NCP,Normal,0.655701754,0.181184669,0.818815331,3
NCP,Overweight,0.099281515,0.868965517,0.131034483,3.000974
NCP,Obesity,0.8595259,0.040123457,0.959876543,1.000283
CH2O,Insufficient,0,1,0,inf
CH2O,Normal,0.623903509,0.289198606,0.710801394,2
CH2O,Overweight,0.722403658,0.210344828,0.789655172,1.622214
CH2O,Obesity,0.31167691,0.445473251,0.554526749,2.001208
FAF,Insufficient,0.194127243,0.584558824,0.415441176,1.838881
FAF,Normal,0.145833333,0.616724739,0.383275261,2
FAF,Overweight,0.6910516,0.251724138,0.748275862,0.261274
FAF,Obesity,0.41000878,0.589506173,0.410493827,1.000227
TUE,Insufficient,0.307775965,0.481617647,0.518382353,0.98468
TUE,Normal,0.29495614,0.449477352,0.550522648,1
TUE,Overweight,0.179621163,0.782758621,0.217241379,1.011983
TUE,Obesity,0.690079017,0.209876543,0.790123457,7.30E-05
