group1,group2,meandiff,p-adj,lower,upper,reject,feature,p_fdr,significant_fdr
Insufficient,Normal,1.9554,0.0006,0.6586,3.2523,TRUE,Age,0.001028571,TRUE
Insufficient,Obesity,6.0229,0,4.9717,7.0742,TRUE,Age,0,TRUE
Insufficient,Overweight,5.4241,0,4.2979,6.5503,TRUE,Age,0,TRUE
Normal,Obesity,4.0675,0,3.038,5.097,TRUE,Age,0,TRUE
Normal,Overweight,3.4687,0,2.3626,4.5747,TRUE,Age,0,TRUE
Obesity,Overweight,-0.5989,0.222,-1.4029,0.2052,FALSE,Age,0.284084211,FALSE
Insufficient,Normal,-0.0145,0.2456,-0.0346,0.0056,FALSE,Height,0.302276923,FALSE
Insufficient,Obesity,0.0244,0.0007,0.0082,0.0407,TRUE,Height,0.001158621,TRUE
Insufficient,Overweight,0.0047,0.9013,-0.0128,0.0221,FALSE,Height,0.983236364,FALSE
Normal,Obesity,0.039,0,0.023,0.0549,TRUE,Height,0,TRUE
Normal,Overweight,0.0192,0.0207,0.0021,0.0363,TRUE,Height,0.028388571,TRUE
Obesity,Overweight,-0.0198,0.0003,-0.0322,-0.0073,TRUE,Height,0.000576,TRUE
Insufficient,Normal,12.2487,0,9.3376,15.1599,TRUE,Weight,0,TRUE
Insufficient,Obesity,59.176,0,56.8162,61.5358,TRUE,Weight,0,TRUE
Insufficient,Overweight,28.2697,0,25.7416,30.7979,TRUE,Weight,0,TRUE
Normal,Obesity,46.9273,0,44.6162,49.2384,TRUE,Weight,0,TRUE
Normal,Overweight,16.021,0,13.5382,18.5038,TRUE,Weight,0,TRUE
Obesity,Overweight,-30.9063,0,-32.7113,-29.1013,TRUE,Weight,0,TRUE
Insufficient,Normal,-0.1463,0.0052,-0.2599,-0.0327,TRUE,FCVC,0.0078,TRUE
Insufficient,Obesity,0.0393,0.6914,-0.0528,0.1314,FALSE,FCVC,0.790171429,FALSE
Insufficient,Overweight,-0.2182,0,-0.3168,-0.1195,TRUE,FCVC,0,TRUE
Normal,Obesity,0.1856,0,0.0954,0.2758,TRUE,FCVC,0,TRUE
Normal,Overweight,-0.0719,0.2249,-0.1688,0.025,FALSE,FCVC,0.284084211,FALSE
Obesity,Overweight,-0.2575,0,-0.3279,-0.187,TRUE,FCVC,0,TRUE
Insufficient,Normal,-0.1757,0.0347,-0.3427,-0.0087,TRUE,NCP,0.046266667,TRUE
Insufficient,Obesity,-0.1976,0.001,-0.333,-0.0623,TRUE,NCP,0.001548387,TRUE
Insufficient,Overweight,-0.4145,0,-0.5596,-0.2695,TRUE,NCP,0,TRUE
Normal,Obesity,-0.0219,0.9743,-0.1545,0.1107,FALSE,NCP,0.997378723,FALSE
Normal,Overweight,-0.2388,0.0001,-0.3812,-0.0964,TRUE,NCP,0.000208696,TRUE
Obesity,Overweight,-0.2169,0,-0.3205,-0.1134,TRUE,NCP,0,TRUE
Insufficient,Normal,-0.0211,0.9766,-0.1531,0.1109,FALSE,CH2O,0.997378723,FALSE
Insufficient,Obesity,0.2014,0,0.0943,0.3084,TRUE,CH2O,0,TRUE
Insufficient,Overweight,0.1706,0.0008,0.056,0.2853,TRUE,CH2O,0.00128,TRUE
Normal,Obesity,0.2225,0,0.1177,0.3273,TRUE,CH2O,0,TRUE
Normal,Overweight,0.1918,0.0001,0.0792,0.3043,TRUE,CH2O,0.000208696,TRUE
Obesity,Overweight,-0.0307,0.7696,-0.1126,0.0511,FALSE,CH2O,0.859088372,FALSE
Insufficient,Normal,-0.0027,1,-0.1849,0.1794,FALSE,FAF,1,FALSE
Insufficient,Obesity,-0.3752,0,-0.5229,-0.2276,TRUE,FAF,0,TRUE
Insufficient,Overweight,-0.2427,0.0005,-0.4009,-0.0845,TRUE,FAF,0.000888889,TRUE
Normal,Obesity,-0.3725,0,-0.5171,-0.2279,TRUE,FAF,0,TRUE
Normal,Overweight,-0.24,0.0004,-0.3953,-0.0846,TRUE,FAF,0.000738462,TRUE
Obesity,Overweight,0.1325,0.0137,0.0196,0.2455,TRUE,FAF,0.019341176,TRUE
Insufficient,Normal,-0.1635,0.0077,-0.2951,-0.0319,TRUE,TUE,0.0112,TRUE
Insufficient,Obesity,-0.2361,0,-0.3428,-0.1295,TRUE,TUE,0,TRUE
Insufficient,Overweight,-0.1843,0.0002,-0.2986,-0.0701,TRUE,TUE,0.0004,TRUE
Normal,Obesity,-0.0726,0.2795,-0.1771,0.0318,FALSE,TUE,0.3354,FALSE
Normal,Overweight,-0.0208,0.9641,-0.133,0.0914,FALSE,TUE,0.997378723,FALSE
Obesity,Overweight,0.0518,0.3605,-0.0298,0.1334,FALSE,TUE,0.42204878,FALSE
